id	name	north	south	east	west
1	Albion, California, USA	39.2307	39.2217	-123.762	-123.774
2	Burbank, California, USA	34.22	34.15	-118.29	-118.37
3	Mitrula Marsh, Tahoe National Forest, Sierra Co., California, USA	39.6272	39.6226	-120.614	-120.62
4	Salt Point State Park, Sonoma Co., California, USA	38.5923	38.5584	-123.283	-123.343
5	Gualala, California, USA	38.7868	38.7597	-123.519	-123.557
6	Elgin Co., Ontario, Canada	42.876	42.4701	-80.8044	-81.8179
7	Brett Woods, Fairfield Co., Connecticut, USA	41.2125	41.1939	-73.3215	-73.3295
8	Point Reyes National Seashore, Marin Co., California, USA	38.2441	37.9255	-122.709	-123.026
9	Howarth Park, Santa Rosa, California, USA	38.4582	38.4496	-122.663	-122.671
10	Sebastopol, California, USA	38.4104	38.3829	-122.815	-122.856
11	Petaluma, California, USA	38.2788	38.2055	-122.581	-122.677
12	Buttonwood, south Key Largo, Monroe Co., Florida, USA	25.0667	25.0576	-80.4722	-80.4801
13	Dove Creek Hammock, south Key Largo, Monroe Co., Florida, USA	25.0388	25.0297	-80.496	-80.5059
14	Port Bougainvillea, north Key Largo, Monroe Co., Florida, USA	25.1811	25.1735	-80.3614	-80.3662
15	Indian Key, Florida, USA	24.88	24.8772	-80.6759	-80.6782
16	Big Pine Key, Monroe Co., Florida, USA	24.7453	24.6368	-81.3282	-81.4013
17	No Name Key, Monroe Co., Florida, USA	24.7067	24.6739	-81.3117	-81.3432
18	Moran State Park, San Juan Co., Washington, USA	48.6886	48.6445	-122.792	-122.863
19	Clinton, Washington, USA	47.9893	47.9868	-122.37	-122.374
20	Cabin Cove, Haywood Co., North Carolina, USA	35.6627	35.6462	-83.0384	-83.0598
21	Novato, California, USA	38.1464	38.039	-122.486	-122.624
22	Nags Head, North Carolina, USA	35.9986	35.7755	-75.5338	-75.6773
23	Whitemarsh, Virginia, USA	37.3472	37.3437	-76.5363	-76.5458
24	Madison Heights, Pasadena, California, USA	34.1359	34.1277	-118.132	-118.141
25	Los Trancos Preserve, Palo Alto, California, USA	37.3343	37.326	-122.174	-122.186
26	South Lake Tahoe, California, USA	38.9363	38.8031	-119.921	-120.138
27	Bassetts, Sierra Co., California, USA	39.6395	39.5925	-120.526	-120.643
28	Mar Vista, Los Angeles, California, USA	34.0285	34.0023	-118.419	-118.449
29	Pipi Valley, El Dorado Co., California, USA	38.6428	38.4828	-120.251	-120.471
30	Natural History Museum, Los Angeles, California, USA	34.0173	34.0167	-118.287	-118.29
31	Los Feliz, Los Angeles, California, USA	34.1259	34.0986	-118.271	-118.309
32	Redwood National Park, Orick, California, USA	41.3873	41.2838	-123.99	-124.074
33	Venice, Los Angeles, California, USA	34.0068	33.9782	-118.448	-118.49
34	Menlo Park, California, USA	37.4694	37.4149	-122.141	-122.228
35	Griffith Park, Los Angeles, California, USA	34.1556	34.1087	-118.272	-118.327
36	Ortega Highway, Cleveland National Forest, California, USA	33.6588	33.6219	-117.374	-117.484
37	Culver City Veterans Memorial Hall, Culver City, California, USA	34.0134	34.0126	-118.402	-118.403
38	Chumash Interpretive Center, Thousand Oaks, California, USA	34.2133	34.2096	-118.802	-118.817
39	Wilder Ridge, Humboldt Co., California, USA	40.1783	40.1664	-124.056	-124.07
40	Murphy's Bush, Murphy's Rd., Manukau City, Auckland, New Zealand	-36.9772	-36.982	174.922	174.917
41	Mountain View, California, USA	37.4283	37.3587	-122.05	-122.124
42	Diamond and Crater Lake, Oregon, USA	43.2596	42.7463	-121.94	-122.363
43	Lake Crescent, Olympic National Park, Clallam Co., Washington, USA	48.0617	48.0516	-123.783	-123.803
44	China Camp State Park, Marin Co., California, USA	38.0133	37.9806	-122.456	-122.506
45	near Sterling, Alaska, USA	60.5505	60.4447	-150.092	-150.895
46	Anchorage, Alaska, USA	61.2412	61.0257	-149.685	-150.051
47	Nairobi, Kenya	-1.2331	-1.3193	36.8742	36.7403
48	Gwanak-Gu, Seoul, South Korea	37.467	37.4441	126.948	126.934
49	New Zealand	-34.3434	-47.309	178.594	166.333
50	Humboldt Co., California, USA	41.4715	40	-123.377	-124.417
51	Eureka, California, USA	40.819	40.7452	-124.117	-124.198
53	Asheville, North Carolina, USA	35.6509	35.5576	-82.4644	-82.632
54	Santa Rosa, California, USA	38.5074	38.3637	-122.573	-122.834
55	Foothill Regional Park, Windsor, California, USA	38.5659	38.5555	-122.783	-122.798
56	Crane Creek Regional Park, Rohnert Park, California, USA	38.3551	38.338	-122.641	-122.656
57	DreamWorks Campus, Glendale, California, USA	34.1587	34.1565	-118.283	-118.288
58	Santa Cruz, California, USA	37.0243	36.9466	-121.987	-122.088
60	Gray Whale Ranch, Santa Cruz Co., California, USA	37.0274	37.0074	-122.079	-122.113
61	Monterey Co., California, USA	36.8467	35.7955	-120.276	-121.979
62	Swanton Rd., Santa Cruz Co., California, USA	37.0967	37.0291	-122.217	-122.281
63	Bonny Doon, California, USA	37.1046	37.0086	-122.1	-122.17
64	Wolchulsan National Park, South Korea	34.774	34.7667	126.719	126.704
65	Changdeokgung, Seoul, South Korea	37.5871	37.5761	126.997	126.988
66	Hotel Parque dos Coqueiros, Aracaju, Sergipe, Brazil	-10.9973	-10.9993	-37.0558	-37.0579
67	Aracaju, Sergipe, Brazil	-10.8701	-11.0028	-37.0315	-37.118
68	Descanso Gardens, La Crescenta, California, USA	34.2043	34.195	-118.208	-118.217
69	Crescenta Valley Community Regional Park, La Crescenta, California, USA	34.227	34.2202	-118.253	-118.261
70	Marshall Fields, University of California Santa Cruz, Santa Cruz Co., California, USA	37.0204	37.0019	-122.053	-122.08
71	Aptos, California, USA	37.0072	36.9581	-121.839	-121.906
72	University of California Santa Cruz, Santa Cruz Co., California, USA	37.0035	36.9773	-122.048	-122.07
73	CYO McGucken Camp, Occidental, Sonoma Co., California, USA	38.3975	38.3914	-122.936	-122.945
74	Armstrong Redwoods State Park, Sonoma Co., California, USA	38.5415	38.5307	-122.999	-123.014
75	Bear Valley, Point Reyes National Seashore, Marin Co., California, USA	38.0422	38.0371	-122.804	-122.815
76	Russian Gulch State Park, Mendocino Co., California, USA	39.3356	39.3246	-123.751	-123.813
77	Occidental, Sonoma Co., California, USA	38.4149	38.4001	-122.929	-122.957
78	Wildcat Mountain State Park, Vernon Co., Wisconsin, USA	43.7205	43.6748	-90.5219	-90.6
79	Lorestan, Iran	34.47	32.67	49.97	46.92
80	Bridle Trails State Park, King Co., Washington, USA	47.661	47.6463	-122.164	-122.186
81	Oakdale Dr., Cornelia, Georgia, USA	34.5447	34.5414	-83.5085	-83.5112
82	Whitethorn, California, USA	40.0318	40	-123.928	-123.952
83	Sanctuary Forest, near Whitethorn, Humboldt Co., California, USA	40.0071	40	-123.928	-123.944
84	Apalachicola National Forest, Wakulla Co., Florida, USA	30.4439	30.0572	-84.2569	-84.7183
85	Edgewood Blue, Wells Gray region, British Columbia, Canada	51.8856	51.8479	-120.011	-120.053
86	Sycamore Grove Park, Livermore, California, USA	37.6452	37.6251	-121.755	-121.783
87	Victoria, British Columbia, Canada	48.4387	48.405	-123.296	-123.415
88	Raquette Lake, Hamilton Co., New York, USA	43.8811	43.78	-74.5683	-74.6974
89	Hinton, Alberta, Canada	54.0433	51.9578	-116.565	-120.004
90	Fauntleroy Park, Seattle, Washington, USA	47.5216	47.5167	-122.379	-122.386
91	Briceland, California, USA	40.1109	40.1029	-123.896	-123.91
92	Barton Flats, San Bernardino National Forest, San Bernardino Co., California, USA	34.1874	34.154	-116.827	-116.913
93	Healdsburg, California, USA	38.6434	38.593	-122.829	-122.894
94	Jalisco, Mexico	22.4313	19.2697	-101.865	-106.062
