"	num_examples	official_name_id_x	id	text_name	author	rank	deprecated	synonym_id	correct_spelling_id	official_name_id_y",,,
"1960	194	5024.0	5024	Trametes elegans	(Spreng.:Fr.)Fr.	4	0	3515.0		-1",,,
"6821	194	29997.0	29997	Morchella importuna	M.Kuo"," O'Donnell & T.J.Volk	4	0	3607.0		-1",,
"9876	194	60506.0	60506	Oudemansiella megalospora	(Clem.) Zhu L. Yang", G.M. Muell.," G. Kost & Rexer	4	0	6279.0		-1",
"424	195	655.0	655	Cortinarius alboviolaceus	(Pers.) Fr.	4	0			-1",,,
"665	195	1234.0	1234	Pleurotus populinus	O. Hilber & O.K. Mill.	4	0			-1",,,
"2125	195	5510.0	5510	Hexagonia hydnoides	(Sw.) M. Fidalgo	4	0			-1",,,
"4751	195	19375.0	19375	Dacryopinax elegans	(Berk. & M.A. Curtis) G.W. Martin	4	0			-1",,,
"1845	196	4350.0	4350	Tetrapyrgos nigripes	(Schwein.) E. Horak	4	0	3910.0		-1",,,
"9715	196	59779.0	59779	Suillus clintonianus	(Peck) Kuntze	4	0	6122.0		-1",,,
"52	197	79.0	79	Russula aeruginea	Fr.	4	0			-1",,,
"323	197	473.0	473	Tricholoma fracticum	(Britzelm.) Kreisel	4	0			-1",,,
"1296	197	2824.0	2824	Leccinum rugosiceps	(Peck) Singer	4	0			-1",,,
"5169	197	22144.0	22144	Ductifera pululahuana	(Pat.) Wells	4	0	3784.0		-1",,,
"1097	198	2371.0	2371	Gymnopus peronatus	(Bolton) Gray	4	0	146.0		-1",,,
"1467	198	3326.0	3326	Pholiota alnicola	(Fr.) Singer	4	0	2687.0		-1",,,
"1967	198	5042.0	5042	Leucoagaricus barssii	(Zeller) Vellinga	4	0	2629.0		-1",,,
"145	199	217.0	217	Hypholoma dispersum	(Fr.) QuÃ©l.	4	0	3089.0		-1",,,
"588	199	1078.0	1078	Amanita farinosa	Schwein.	4	0	3264.0		-1",,,
"1083	199	2337.0	2337	Gymnopus confluens	(Pers.) AntonÃ_n"," Halling & Noordel.	4	0	2576.0		-1",,
"1376	199	3069.0	3069	Mutinus elegans	(Mont.) Fisch.	4	0	266.0		-1",,,
"1458	199	3284.0	3284	Phallus rubicundus	(Bosc) Fr.	4	0	4929.0		-1",,,
"7908	199	40890.0	40890	Lactifluus piperatus	(L.) Roussel	4	0	4174.0		-1",,,
"150	200	223.0	223	Hygrophorus chrysodon	(Batsch) Fr.	4	0	2518.0		-1",,,
"353	200	523.0	523	Panaeolus acuminatus	(Schaeff.) QuÃ©l.	4	0	3170.0		-1",,,
"1659	200	3759.0	3759	Stropharia coronilla	(Bull.) QuÃ©l.	4	0	361.0		-1",,,
"2272	200	5854.0	5854	Amanita subcokeri	Tulloss nom. prov.	4	0			-1",,,
"8793	200	47183.0	47183	Xerocomus hortonii	(A.H. Sm. & Thiers) Manfr. Binder & Besl	4	0	4848.0		-1",,,
"2271	201	5853.0	5853	Amanita parcivolvata	(Peck) E.-J. Gilbert	4	0	633.0		-1",,,
"396	202	602.0	602	Mycena sanguinolenta	(Alb. & Schwein.) P. Kumm.	4	0			-1",,,
"1620	202	3674.0	3674	Sarcodon imbricatus	(L.) P. Karst.	4	0	341.0		-1",,,
"2459	202	6372.0	6372	Parmelia sulcata	Taylor	4	0			-1",,,
"6336	202	28940.0	28940	Aureoboletus flaviporus	(Earle) Klofac	4	0	3424.0		-1",,,
"7931	202	41028.0	41028	Lactifluus corrugis	(Peck) Kuntze	4	0	5951.0		-1",,,
"32	203	54.0	54	Strobilurus trullisatus	(Murrill) Lennox	4	0	371.0		-1",,,
"2183	205	5661.0	5661	Sarcoscypha austriaca	(O. Beck ex Sacc.) Boud.	4	0			-1",,,
"2255	206	5818.0	5818	Monotropa uniflora	L.	4	0	4137.0		-1",,,
"677	207	1263.0	1263	Amanita onusta	(Howe) Sacc.	4	0			-1",,,
"1106	207	2399.0	2399	Gyromitra korfii	(Raitv.) Harmaja	4	0			-1",,,
"6180	207	28442.0	28442	Psilocybe heimii	GuzmÃ¡n	4	0			-1",,,
"338	208	501.0	501	Pholiota terrestris	Overh.	4	0			-1",,,
"7400	208	31766.0	31766	Protostropharia semiglobata	(Batsch : Fr.) Redhead", Moncalvo," Vilgalys	4	0	4037.0		-1",
"1297	209	2825.0	2825	Leccinum snellii	A.H. Sm."," Thiers & Watling	4	0			-1",,
"1773	209	4020.0	4020	Xeromphalina tenuipes	(Schwein.) A.H. Sm.	4	0			-1",,,
