Genus,1st_guessed_genus,,,"This spreadsheet shows, for each genus, the 5 genera that were guessed (as top prediction) the most frequently"
Agaricus,Leccinum,7,,
Agaricus,Stropharia,6,,
Agaricus,Lepista,4,,
Agaricus,Coprinus,3,,
Agaricus,Lactifluus,3,,
Agrocybe,Lecanora,4,,
Agrocybe,Stropharia,4,,
Agrocybe,Calvatia,3,,
Agrocybe,Conocybe,3,,
Agrocybe,Deconica,3,,
Amanita,Amanita,17,,
Amanita,Phallus,4,,
Amanita,Stropharia,4,,
Amanita,Cuphophyllus,3,,
Amanita,Leccinum,3,,
Armillaria,Hypholoma,5,,
Armillaria,Armillaria,4,,
Armillaria,Omphalotus,4,,
Armillaria,Rhodocollybia,4,,
Armillaria,Lactifluus,3,,
Auricularia,Auricularia,25,,
Auricularia,Gyromitra,3,,
Auricularia,Panellus,3,,
Auricularia,Mycena,2,,
Auricularia,Peltigera,2,,
Bolbitius,Hygrocybe,8,,
Bolbitius,Parasola,6,,
Bolbitius,Deconica,3,,
Bolbitius,Gliophorus,3,,
Bolbitius,Bolbitius,2,,
Boletus,Boletus,13,,
Boletus,Leccinum,6,,
Boletus,Xerocomus,5,,
Boletus,Tylopilus,4,,
Boletus,Phallus,3,,
Butyriboletus,Butyriboletus,21,,
Butyriboletus,Boletus,6,,
Butyriboletus,Calvatia,4,,
Butyriboletus,Lactifluus,3,,
Butyriboletus,Hygrocybe,2,,
Caloplaca,Caloplaca,22,,
Caloplaca,Lecanora,8,,
Caloplaca,Physcia,6,,
Caloplaca,Pertusaria,4,,
Caloplaca,Fuligo,2,,
Calvatia,Calvatia,32,,
Calvatia,Laetiporus,3,,
Calvatia,Scleroderma,3,,
Calvatia,Cuphophyllus,2,,
Calvatia,Auricularia,1,,
Cantharellus,Cantharellus,17,,
Cantharellus,Hygrocybe,4,,
Cantharellus,Laetiporus,3,,
Cantharellus,Omphalotus,2,,
Cantharellus,Sarcodon,2,,
Cerioporus,Cerioporus,10,,
Cerioporus,Fomitopsis,4,,
Cerioporus,Polyporus,4,,
Cerioporus,Ganoderma,3,,
Cerioporus,Suillus,3,,
Chlorophyllum,Chlorophyllum,12,,
Chlorophyllum,Amanita,5,,
Chlorophyllum,Calvatia,4,,
Chlorophyllum,Coprinus,3,,
Chlorophyllum,Phallus,3,,
Cladonia,Cladonia,37,,
Cladonia,Peltigera,4,,
Cladonia,Fuligo,2,,
Cladonia,Physcia,2,,
Cladonia,Coprinopsis,1,,
Clitocybe,Lepista,5,,
Clitocybe,Clitocybe,4,,
Clitocybe,Hygrophorus,4,,
Clitocybe,Cantharellus,3,,
Clitocybe,Parasola,3,,
Conocybe,Conocybe,13,,
Conocybe,Parasola,9,,
Conocybe,Deconica,4,,
Conocybe,Lecanora,3,,
Conocybe,Panaeolus,3,,
Coprinellus,Coprinellus,7,,
Coprinellus,Omphalotus,3,,
Coprinellus,Parasola,3,,
Coprinellus,Peltigera,3,,
Coprinellus,Xeromphalina,3,,
Coprinopsis,Coprinopsis,11,,
Coprinopsis,Coprinus,4,,
Coprinopsis,Coprinellus,3,,
Coprinopsis,Lactifluus,2,,
Coprinopsis,Lycoperdon,2,,
Coprinus,Coprinus,25,,
Coprinus,Coprinopsis,3,,
Coprinus,Chlorophyllum,2,,
Coprinus,Laetiporus,2,,
Coprinus,Panaeolus,2,,
Cortinarius,Cortinarius,6,,
Cortinarius,Boletus,5,,
Cortinarius,Lepista,4,,
Cortinarius,Suillus,3,,
Cortinarius,Butyriboletus,2,,
Craterellus,Craterellus,8,,
Craterellus,Cantharellus,4,,
Craterellus,Parasola,3,,
Craterellus,Peltigera,3,,
Craterellus,Tremella,3,,
Crepidotus,Crepidotus,12,,
Crepidotus,Pleurotus,5,,
Crepidotus,Deconica,3,,
Crepidotus,Fomitopsis,3,,
Crepidotus,Xylaria,3,,
Cuphophyllus,Cuphophyllus,12,,
Cuphophyllus,Hygrophorus,4,,
Cuphophyllus,Tricholomopsis,4,,
Cuphophyllus,Lepista,3,,
Cuphophyllus,Omphalotus,3,,
Deconica,Deconica,19,,
Deconica,Lecanora,4,,
Deconica,Panaeolus,4,,
Deconica,Parasola,3,,
Deconica,Conocybe,2,,
Entoloma,Gliophorus,6,,
Entoloma,Parasola,5,,
Entoloma,Calvatia,2,,
Entoloma,Cuphophyllus,2,,
Entoloma,Hygrocybe,2,,
Fomitopsis,Fomitopsis,20,,
Fomitopsis,Ganoderma,4,,
Fomitopsis,Phaeolus,4,,
Fomitopsis,Auricularia,3,,
Fomitopsis,Coprinus,2,,
Fuligo,Fuligo,28,,
Fuligo,Hericium,4,,
Fuligo,Lecanora,4,,
Fuligo,Fomitopsis,2,,
Fuligo,Phallus,2,,
Galerina,Mycena,5,,
Galerina,Gliophorus,4,,
Galerina,Hypholoma,4,,
Galerina,Auricularia,3,,
Galerina,Conocybe,3,,
Ganoderma,Fomitopsis,14,,
Ganoderma,Ganoderma,14,,
Ganoderma,Phaeolus,4,,
Ganoderma,Auricularia,3,,
Ganoderma,Laetiporus,2,,
Geastrum,Geastrum,36,,
Geastrum,Peziza,3,,
Geastrum,Scleroderma,2,,
Geastrum,Auricularia,1,,
Geastrum,Coprinopsis,1,,
Gliophorus,Gliophorus,14,,
Gliophorus,Hygrocybe,11,,
Gliophorus,Cuphophyllus,4,,
Gliophorus,Parasola,4,,
Gliophorus,Oudemansiella,3,,
Gymnopilus,Hygrocybe,4,,
Gymnopilus,Omphalotus,4,,
Gymnopilus,Cantharellus,3,,
Gymnopilus,Cortinarius,3,,
Gymnopilus,Phaeolus,3,,
Gymnopus,Pleurotus,4,,
Gymnopus,Hygrocybe,3,,
Gymnopus,Rhodocollybia,3,,
Gymnopus,Xeromphalina,3,,
Gymnopus,Cantharellus,2,,
Gyromitra,Gyromitra,39,,
Gyromitra,Morchella,4,,
Gyromitra,Auricularia,1,,
Gyromitra,Inocybe,1,,
Gyromitra,Pertusaria,1,,
Hebeloma,Deconica,4,,
Hebeloma,Hygrophorus,3,,
Hebeloma,Inocybe,3,,
Hebeloma,Leccinum,3,,
Hebeloma,Tricholomopsis,3,,
Helvella,Helvella,13,,
Helvella,Morchella,4,,
Helvella,Scleroderma,4,,
Helvella,Cantharellus,3,,
Helvella,Craterellus,3,,
Hericium,Hericium,38,,
Hericium,Ramaria,3,,
Hericium,Phlebia,2,,
Hericium,Fomitopsis,1,,
Hericium,Fuligo,1,,
Hydnellum,Hydnellum,8,,
Hydnellum,Phaeolus,6,,
Hydnellum,Sarcodon,6,,
Hydnellum,Trametes,4,,
Hydnellum,Chlorophyllum,3,,
Hygrocybe,Hygrocybe,17,,
Hygrocybe,Gliophorus,4,,
Hygrocybe,Butyriboletus,3,,
Hygrocybe,Leratiomyces,3,,
Hygrocybe,Tricholomopsis,3,,
Hygrophorus,Hygrophorus,10,,
Hygrophorus,Clitocybe,5,,
Hygrophorus,Cuphophyllus,5,,
Hygrophorus,Lepista,4,,
Hygrophorus,Leucocoprinus,3,,
Hypholoma,Hypholoma,8,,
Hypholoma,Deconica,4,,
Hypholoma,Gliophorus,3,,
Hypholoma,Rhodocollybia,3,,
Hypholoma,Tricholomopsis,3,,
Hypomyces,Hypomyces,4,,
Hypomyces,Morchella,4,,
Hypomyces,Boletus,3,,
Hypomyces,Butyriboletus,3,,
Hypomyces,Phaeolus,3,,
Inocybe,Deconica,3,,
Inocybe,Inocybe,3,,
Inocybe,Peziza,3,,
Inocybe,Clitocybe,2,,
Inocybe,Coprinus,2,,
Laccaria,Laccaria,6,,
Laccaria,Hygrocybe,5,,
Laccaria,Deconica,4,,
Laccaria,Lepista,3,,
Laccaria,Calvatia,2,,
Lacrymaria,Parasola,5,,
Lacrymaria,Lacrymaria,3,,
Lacrymaria,Leccinum,3,,
Lacrymaria,Lycoperdon,3,,
Lacrymaria,Suillus,3,,
Lactarius,Hygrophorus,8,,
Lactarius,Cantharellus,3,,
Lactarius,Russula,3,,
Lactarius,Suillus,3,,
Lactarius,Crepidotus,2,,
Lactifluus,Lactifluus,9,,
Lactifluus,Cantharellus,6,,
Lactifluus,Hygrophorus,5,,
Lactifluus,Cuphophyllus,4,,
Lactifluus,Boletus,2,,
Laetiporus,Laetiporus,28,,
Laetiporus,Trametes,3,,
Laetiporus,Omphalotus,2,,
Laetiporus,Pleurotus,2,,
Laetiporus,Stereum,2,,
Lecanora,Lecanora,24,,
Lecanora,Pertusaria,9,,
Lecanora,Physcia,5,,
Lecanora,Caloplaca,2,,
Lecanora,Parasola,2,,
Leccinum,Leccinum,21,,
Leccinum,Boletus,14,,
Leccinum,Suillus,3,,
Leccinum,Calvatia,2,,
Leccinum,Tylopilus,2,,
Lentinus,Lentinus,6,,
Lentinus,Polyporus,6,,
Lentinus,Phaeolus,4,,
Lentinus,Schizophyllum,3,,
Lentinus,Auricularia,2,,
Lepiota,Leucocoprinus,7,,
Lepiota,Clitocybe,3,,
Lepiota,Inocybe,3,,
Lepiota,Lycoperdon,3,,
Lepiota,Coprinopsis,2,,
Lepista,Lepista,15,,
Lepista,Rhodocollybia,3,,
Lepista,Tylopilus,3,,
Lepista,Boletus,2,,
Lepista,Coprinopsis,2,,
Leratiomyces,Hygrocybe,9,,
Leratiomyces,Leratiomyces,4,,
Leratiomyces,Phallus,3,,
Leratiomyces,Stropharia,3,,
Leratiomyces,Amanita,2,,
Leucoagaricus,Cuphophyllus,5,,
Leucoagaricus,Parasola,5,,
Leucoagaricus,Amanita,4,,
Leucoagaricus,Chlorophyllum,4,,
Leucoagaricus,Oudemansiella,4,,
Leucocoprinus,Leucocoprinus,10,,
Leucocoprinus,Lycoperdon,5,,
Leucocoprinus,Parasola,5,,
Leucocoprinus,Hygrophorus,4,,
Leucocoprinus,Coprinopsis,2,,
Lycoperdon,Lycoperdon,20,,
Lycoperdon,Calvatia,3,,
Lycoperdon,Coprinellus,3,,
Lycoperdon,Crepidotus,3,,
Lycoperdon,Geastrum,2,,
Marasmius,Marasmius,14,,
Marasmius,Conocybe,4,,
Marasmius,Geastrum,3,,
Marasmius,Parasola,3,,
Marasmius,Cuphophyllus,2,,
Melanoleuca,Lecanora,4,,
Melanoleuca,Melanoleuca,4,,
Melanoleuca,Russula,4,,
Melanoleuca,Stropharia,4,,
Melanoleuca,Clitocybe,3,,
Mixed,Mixed,14,,
Mixed,Deconica,2,,
Mixed,Gymnopilus,2,,
Mixed,Lactifluus,2,,
Mixed,Phlebia,2,,
Morchella,Morchella,37,,
Morchella,Gyromitra,2,,
Morchella,Parasola,2,,
Morchella,Calvatia,1,,
Morchella,Deconica,1,,
Mycena,Deconica,4,,
Mycena,Hygrocybe,4,,
Mycena,Marasmius,4,,
Mycena,Conocybe,3,,
Mycena,Caloplaca,2,,
Omphalotus,Omphalotus,18,,
Omphalotus,Cantharellus,4,,
Omphalotus,Laetiporus,4,,
Omphalotus,Ganoderma,2,,
Omphalotus,Hygrocybe,2,,
Oudemansiella,Coprinopsis,6,,
Oudemansiella,Oudemansiella,5,,
Oudemansiella,Pleurotus,4,,
Oudemansiella,Leccinum,3,,
Oudemansiella,Parasola,3,,
Panaeolus,Panaeolus,11,,
Panaeolus,Parasola,9,,
Panaeolus,Conocybe,5,,
Panaeolus,Lycoperdon,4,,
Panaeolus,Deconica,3,,
Panellus,Panellus,9,,
Panellus,Auricularia,5,,
Panellus,Crepidotus,4,,
Panellus,Pleurotus,3,,
Panellus,Sarcodon,3,,
Parasola,Parasola,26,,
Parasola,Deconica,3,,
Parasola,Lecanora,3,,
Parasola,Conocybe,2,,
Parasola,Coprinopsis,2,,
Peltigera,Peltigera,37,,
Peltigera,Cladonia,2,,
Peltigera,Caloplaca,1,,
Peltigera,Fuligo,1,,
Peltigera,Ganoderma,1,,
Pertusaria,Pertusaria,29,,
Pertusaria,Lecanora,8,,
Pertusaria,Physcia,4,,
Pertusaria,Caloplaca,2,,
Pertusaria,Phlebia,2,,
Peziza,Peziza,20,,
Peziza,Gyromitra,8,,
Peziza,Auricularia,4,,
Peziza,Polyporus,2,,
Peziza,Caloplaca,1,,
Phaeolus,Phaeolus,19,,
Phaeolus,Suillus,5,,
Phaeolus,Morchella,4,,
Phaeolus,Auricularia,3,,
Phaeolus,Trametes,3,,
Phallus,Phallus,38,,
Phallus,Scleroderma,4,,
Phallus,Geastrum,3,,
Phallus,Morchella,3,,
Phallus,Coprinus,1,,
Phlebia,Phlebia,21,,
Phlebia,Fuligo,3,,
Phlebia,Pertusaria,3,,
Phlebia,Trametes,3,,
Phlebia,Trichaptum,3,,
Pholiota,Hypholoma,4,,
Pholiota,Armillaria,3,,
Pholiota,Deconica,3,,
Pholiota,Leratiomyces,3,,
Pholiota,Butyriboletus,2,,
Physcia,Physcia,31,,
Physcia,Pertusaria,8,,
Physcia,Lecanora,4,,
Physcia,Hericium,2,,
Physcia,Schizophyllum,2,,
Pleurotus,Pleurotus,25,,
Pleurotus,Laetiporus,5,,
Pleurotus,Hericium,3,,
Pleurotus,Ganoderma,2,,
Pleurotus,Auricularia,1,,
Pluteus,Panaeolus,4,,
Pluteus,Cuphophyllus,3,,
Pluteus,Hygrocybe,3,,
Pluteus,Inocybe,3,,
Pluteus,Lactifluus,3,,
Polyporus,Cantharellus,3,,
Polyporus,Fomitopsis,3,,
Polyporus,Lentinus,3,,
Polyporus,Polyporus,3,,
Polyporus,Cerioporus,2,,
Psathyrella,Parasola,8,,
Psathyrella,Deconica,4,,
Psathyrella,Laccaria,4,,
Psathyrella,Hypholoma,3,,
Psathyrella,Lycoperdon,3,,
Psilocybe,Deconica,6,,
Psilocybe,Marasmius,4,,
Psilocybe,Parasola,4,,
Psilocybe,Conocybe,2,,
Psilocybe,Hygrocybe,2,,
Ramaria,Ramaria,42,,
Ramaria,Hericium,2,,
Ramaria,Inocybe,2,,
Ramaria,Laetiporus,1,,
Ramaria,Lecanora,1,,
Rhodocollybia,Rhodocollybia,11,,
Rhodocollybia,Hygrophorus,4,,
Rhodocollybia,Polyporus,4,,
Rhodocollybia,Amanita,3,,
Rhodocollybia,Calvatia,3,,
Russula,Russula,7,,
Russula,Hygrophorus,5,,
Russula,Lactifluus,5,,
Russula,Butyriboletus,3,,
Russula,Calvatia,3,,
Sarcodon,Sarcodon,18,,
Sarcodon,Cerioporus,3,,
Sarcodon,Xylaria,3,,
Sarcodon,Calvatia,2,,
Sarcodon,Craterellus,2,,
Schizophyllum,Schizophyllum,28,,
Schizophyllum,Crepidotus,3,,
Schizophyllum,Xylaria,3,,
Schizophyllum,Parasola,2,,
Schizophyllum,Trichaptum,2,,
Scleroderma,Scleroderma,17,,
Scleroderma,Lycoperdon,7,,
Scleroderma,Calvatia,5,,
Scleroderma,Sarcodon,3,,
Scleroderma,Xylaria,3,,
Stereum,Stereum,8,,
Stereum,Trametes,8,,
Stereum,Tremella,3,,
Stereum,Trichaptum,3,,
Stereum,Auricularia,2,,
Stropharia,Amanita,10,,
Stropharia,Rhodocollybia,5,,
Stropharia,Lepista,4,,
Stropharia,Stropharia,4,,
Stropharia,Coprinopsis,3,,
Suillus,Suillus,16,,
Suillus,Leccinum,6,,
Suillus,Xerocomus,5,,
Suillus,Boletus,4,,
Suillus,Butyriboletus,3,,
Trametes,Trametes,18,,
Trametes,Crepidotus,3,,
Trametes,Ganoderma,3,,
Trametes,Hydnellum,2,,
Trametes,Peltigera,2,,
Tremella,Tremella,30,,
Tremella,Hericium,3,,
Tremella,Ramaria,3,,
Tremella,Fomitopsis,2,,
Tremella,Lecanora,2,,
Trichaptum,Trichaptum,14,,
Trichaptum,Trametes,8,,
Trichaptum,Stereum,4,,
Trichaptum,Laetiporus,3,,
Trichaptum,Auricularia,2,,
Tricholoma,Hygrophorus,8,,
Tricholoma,Leccinum,4,,
Tricholoma,Boletus,3,,
Tricholoma,Sarcodon,3,,
Tricholoma,Tricholoma,3,,
Tricholomopsis,Tricholomopsis,10,,
Tricholomopsis,Lycoperdon,4,,
Tricholomopsis,Boletus,3,,
Tricholomopsis,Crepidotus,3,,
Tricholomopsis,Omphalotus,3,,
Tubaria,Deconica,5,,
Tubaria,Laccaria,5,,
Tubaria,Hypholoma,3,,
Tubaria,Lycoperdon,3,,
Tubaria,Galerina,2,,
Tylopilus,Boletus,14,,
Tylopilus,Leccinum,9,,
Tylopilus,Tylopilus,7,,
Tylopilus,Butyriboletus,2,,
Tylopilus,Cerioporus,2,,
Xerocomellus,Xerocomellus,11,,
Xerocomellus,Boletus,6,,
Xerocomellus,Scleroderma,6,,
Xerocomellus,Xerocomus,6,,
Xerocomellus,Leccinum,4,,
Xerocomus,Boletus,12,,
Xerocomus,Xerocomus,7,,
Xerocomus,Leccinum,6,,
Xerocomus,Suillus,5,,
Xerocomus,Scleroderma,4,,
Xeromphalina,Xeromphalina,13,,
Xeromphalina,Marasmius,3,,
Xeromphalina,Xylaria,3,,
Xeromphalina,Cladonia,2,,
Xeromphalina,Fuligo,2,,
Xylaria,Xylaria,28,,
Xylaria,Lecanora,2,,
Xylaria,Peltigera,2,,
Xylaria,Scleroderma,2,,
Xylaria,Auricularia,1,,
