Description	Group
"bright red amanita, white warts"	"['Amanita muscaria', 'Amanita stirps Muscaria','Amanita muscaria var. flavivolvata']"
yellow/orange amanita muscara variant	"['Amanita muscaria var. guessowii',   'Amanita persicina','Amanita flavoconia',   'Amanita elongata', 'Amanita flavoconia group']"
amanita pantherina group tan/pale yellow)	"['Amanita multisquamosa', 'Amanita pantherina group', 'Amanita velatipes',   'Amanita praecox',    'Amanita gemmata',   'Amanita ""sp-S01""',   'Amanita crenulata', 'Amanita gemmata group']"
grey to brown capped amanitas in vaginata group	"['Amanita pachycolea',   'Amanita constricta',   'Amanita vaginata', 'Amanita rhacopus group',  'Amanita sect. Vaginatae',   'Amanita sinicoflava',    'Amanita amerifulva',   'Amanita rhacopus',    'Amanita fulva', 'Amanita spreta', 'Amanita amerifulva group']"
bright yellow amanita	['Amanita flavorubens']
brown capped whitish amanita	"['Amanita solaniolens',   'Amanita submaculata', 'Amanita brunnescens', 'Amanita porphyria']"
blushing pink/light brown amanias	"['Amanita rubescens',    'Amanita amerirubescens', 'Amanita rubescens var. alba', 'Amanita novinupta', 'Amanita amerirubescens group', 'Amanita rubescens group']"
pure white amanita (lepidella sect)	"['Amanita silvicola',    'Amanita smithiana',   'Amanita rhopalopus',    'Amanita daucipes',  'Amanita ravenelii',    'Amanita sect. Lepidella',    'Amanita cokeri',    'Amanita subcokeri',    'Amanita polypyramis',    'Amanita abrupta', 'Amanita magniverrucata']"
death caps (smooth pale whitish caps)	"['Amanita ocreata', 'Amanita phalloides', 'Amanita bisporigera', 'Amanita sect. Phalloideae', 'Amanita pseudovolvata',  'Amanita sect. Amidella', 'Amanita velosa', 'Amanita citrina', 'Amanita lavendula', 'Amanita bisporigera group']"
Amanita sect. Caesareae': bright orange sheath-like caps	"['Amanita jacksonii',Amanita sect. Caesareae',   'Amanita banningiana']"
Spring/fall coccoras	"['Amanita calyptroderma', 'Amanita vernicoccora']"
"brown to yellowish cap, yellow warts"	['Amanita augusta']
White agaricus with tan scales	"['Agaricus xanthodermus','Agaricus xanthodermus group', 'Agaricus campestris group', 'Agaricus californicus', 'Agaricus arvensis', ' Agaricus hondensis','Agaricus campestris', 'Agaricus albolutescens','Agaricus sylvicola']"
tan agaricus with tan scales ('the Prince'	"['Agaricus augustus', 'Leucoagaricus americanus']"
Leucoagaricus leucothites	['Leucoagaricus leucothites']
dark scaly agaricus	['Agaricus moelleri']
button mushroom	"['Agaricus bitorquis', 'Agaricus bernardi']"
All armillaria	"['Armillaria mellea',   'Armillaria ostoyae',   'Armillaria sinapina',   'Armillaria gallica', 'Desarmillaria tabescens']"
light edulis	"['Boletus variipes', 'Boletus barrowsii','Boletus pallidus']"
brown edulis and similar tylopilus	"[ 'Boletus edulis', 'Boletus edulis var. grandedulis',   'Boletus rex-veris',   'Boletus regineus',   'Boletus aestivalis',   'Boletus separans',   'Boletus subcaerulescens',   'Boletus nobilis', 'Tylopilus indecisus',    'Tylopilus ferrugineus',    'Tylopilus badiceps',    'Tylopilus violatinctus',    'Tylopilus plumbeoviolaceus',    'Tylopilus rubrobrunneus', 'Tylopilus felleus']"
red capped bolete	"['Boletus sensibilis',   'Baorangia bicolor', 'Baorangia bicolor group',   'Boletus pallidoroseus',   'Lanmaoa pseudosensibilis', 'Boletus luridus']"
red mouthed	"['Boletus subvelutipes', 'Boletus subvelutipes group',  'Boletus luridiformis var. discolor',   'Boletus subluridellus',   'Boletus vermiculosoides', 'Suillellus amygdalinus', 'Sutorius luridiformis']"
bright yellow	"['Retiboletus ornatipes',' Boletus longicurvipes', 'Hemileccinum subglabripes']"
sknny brown with bright yellow underside	"['Aureoboletus auriporus', 'Aureoboletus innixus', 'Aureoboletus roxanae']"
caloboletus	"['Caloboletus conifericola', 'Caloboletus rubripes', 'Caloboletus marshii']"
flared bolete	['Boletinellus merulioides']
scarlet stemmed bolete	['Caloboletus calopus']
wrinkly stem bolete	"['Heimioporus betula', 'Aureoboletus russellii']"
crazy red bolete	 ['Butyriboletus frostii']
pitted bolete	[ 'Xerocomus hortonii']
purple bolete	['Aureoboletus mirabilis']
king mushroom	['Butyriboletus regius']
Classic/false chanterelles	"['Cantharellus formosus',   'Cantharellus cascadensis', 'Cantharellus cibarius group',  'Cantharellus roseocanus','Cantharellus californicus', 'Cantharellus cibarius', 'Cantharellus lateritius', 'Hygrophoropsis aurantiaca']"
white chanterelle	['Cantharellus subalbidus']
black trumpet	"['Craterellus cornucopioides','Craterellus fallax',''Craterellus calicornucopioides']"
bright orange chanterelle	['Cantharellus cinnabarinus']
yellow chanty with grey cap	"['Craterellus tubaeformis', 'Craterellus neotubaeformis']"
tiny yellow chanty	"['Cantharellus minor', 'Craterellus ignicolor']"
shaggy parasols	"['Chlorophyllum brunneum',    'Chlorophyllum rachodes',   'Chlorophyllum olivieri', 'Chlorophyllum molybdites']"
coral mushroom	"['Clavulina cinerea',   'Clavulina coralloides',   'Helminthosphaeria clavariarum',   'Clavulina rugosa',    'Tremellodendropsis tuberosa',   'Tremellodendron schweinitzii',    'Ramariopsis kunzei', 'Artomyces pyxidatus', 'Ramaria rasilispora', 'Ramaria formosa']"
clustered medium smooth white mushroom	"['Clitocybe subconnexa',    'Clitocybe irina',   'Clitocybe robusta', 'Clitocybe densifolia']"
grey goblet mushroom	"['Pseudoclitocybe cyathiformis', 'Clitocybe trulliformis', 'Cantharellula umbonata',  'Clitocybe trulliformis']"
chubby grey mushroom	['Clitocybe nebularis']
fairy ring mushroom lookalikes (toxic inc)	"['Clitocybe rivulosa', 'Clitocybe dealbata', 'Marasmius oreades', 'Clitopilus prunulus']"
tawny cap	"['Infundibulicybe gibba', 'Infundibulicybe squamulosa']"
shaggy ink cap	['Coprinus comatus']
hairy little inky cap	"['Coprinopsis lagopus', 'Coprinopsis subsect. Lanatuli']"
smooth inky cap	"['Coprinopsis atramentaria', 'Coprinopsis romagnesiana']"
fuzzy yellow cap	['Leucocoprinus birnbaumii']
shaggy white caps	"['Leucocoprinus cretaceus', 'Leucocoprinus cepistipes']"
fragile little yellow cap	Leucocoprinus fragilissimus']
mica caps	"['Coprinellus micaceus',   'Coprinellus sect. Micacei',   'Coprinellus domesticus',   'Coprinellus sect. Domestici',   'Coprinellus flocculosus']"
fairy inkcap	"['Coprinellus disseminatus', 'Coprinellus sect. Setulosi', 'Coprinellus disseminatus group']"
Cortinarius subgenus Telamonia	['Cortinarius subgenus Telamonia']
red-gilled webcap	"['Cortinarius semisanguineus',    'Cortinarius subgenus Dermocybe',    'Cortinarius cinnamomeus',   'Cortinarius croceus']"
bright red-gilled webcap	['Cortinarius smithii']
Cortinarius subgenus Phlegmacium	['Cortinarius subgenus Phlegmacium']
pearly webcap	"['Cortinarius alboviolaceus', 'Cortinarius subgenus Sericeocybe']"
violet webcap	['Cortinarius violaceus']
gypsy webcap	['Cortinarius caperatus']
black witch's jelly	['Exidia glandulosa']
purply jellydisc	['Ascocoryne sarcoides']
amber jelly roll	['Exidia recisa']
brown witch's butter	['Phaeotremella foliacea']
pointy entolomoids	"['Entoloma strictius', 'Entoloma strictius var. isabellinum',   'Entoloma vernum']"
red belt conk	"['Fomitopsis pinicola group', ''Fomitopsis pinicola', 'Fomitopsis pini-canadensis']"
birch polypore	['Fomitopsis betulina']
rosy conk	['Fomitopsis cajanderi']
